261;Unseen Fist;Pugni Invisibili
262;Curious Medicine;Stranofarmaco
263;Transistor;Transistor
264;Dragon's Maw;Dragomascelle
265;Chilling Neigh;Nitrito Bianco
266;Grim Neigh;Nitrito Nero
267;As One;Sintonia Equina
268;Lingering Aroma;Odore Tenace
269;Seed Sower;Spargisemi
270;Thermal Exchange;Termoscambio
271;Anger Shell;Iraguscio
272;Purifying Salt;Sale Purificante
273;Well-Baked Body;Bentostato
274;Wind Rider;Vento Propizio
275;Guard Dog;Cane da Guardia
276;Rocky Payload;Portamassi
277;Wind Power;Energia Eolica
278;Zero to Hero;Supercambio
279;Commander;Torre di Comando
280;Electromorphosis;Convertivolt
281;Protosynthesis;Paleoattivazione
282;Quark Drive;Carica Quark
283;Good as Gold;Corpo Aureo
284;Vessel of Ruin;Vaso Nefasto
285;Sword of Ruin;Spada Nefasta
286;Tablets of Ruin;Amuleto Nefasto
287;Beads of Ruin;Monile Nefasto
288;Orichalcum Pulse;Ritmo d’Oricalco
289;Hadron Engine;Motore Adronico
290;Opportunist;Scrocco
291;Cud Chew;Ruminante
292;Sharpness;Affilama
293;Supreme Overlord;Generale Supremo
294;Costar;Coprotagonismo
295;Toxic Debris;Mantossina
296;Armor Tail;Codarmatura
297;Earth Eater;Mangiaterra
298;Mycelium Might;Micoforza
299;Toxic Chain;Catena Tossica
